tag,episode,step,reward,throughput,normalized_throughput,ip4_udp_ratio,host_packet_ratio,timeout_rate,ip4-input,ip6-input,nat44-ed-in2out,nat44-ed-in2out-slowpath,arp-input,ip4-receive,ip4-mfib-forward-lookup,loop0-output
_fixed_all_32,4188,1,0.5464904285714286,3825433,0.5464904285714286,0.20473577762308215,0.04927180792344291,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,2,0.547056,3829392,0.547056,0.20475913669846282,0.04932245118807372,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,3,0.5464145714285714,3824902,0.5464145714285714,0.20471426457462177,0.04929459630599686,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,4,0.5467077142857143,3826954,0.5467077142857143,0.20473436576452186,0.049301089064566754,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,5,0.545559,3818913,0.545559,0.2047496237803794,0.04929963054932123,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,6,0.5554665714285715,3888266.0000000005,0.5554665714285715,0.22615505214920995,0.04067365761498828,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,7,0.5551145714285715,3885802,0.5551145714285715,0.22606581601430026,0.040708456066469674,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,8,0.5550124285714285,3885086.9999999995,0.5550124285714285,0.22615735503477785,0.04070410778445888,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,9,0.5550638571428571,3885446.9999999995,0.5550638571428571,0.22606150592196986,0.04069338740175841,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,10,0.555088,3885616,0.555088,0.22611781503885098,0.04073228028708961,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,11,0.5625798571428572,3938059.0000000005,0.5625798571428572,0.253622660300417,0.030057701014636905,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,12,0.5620757142857142,3934529.9999999995,0.5620757142857142,0.2535776827219515,0.03001857909330975,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,13,0.5627225714285714,3939058,0.5627225714285714,0.25360022624698597,0.03004500060674405,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,14,0.5625195714285715,3937637,0.5625195714285715,0.2535678123707188,0.030038827855386366,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,15,0.5622414285714286,3935690,0.5622414285714286,0.25356417807296816,0.030040475748852172,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,16,0.5666105714285714,3966274,0.5666105714285714,0.27786532145787207,0.026706425224278504,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,17,0.5679968571428572,3975978.0000000005,0.5679968571428572,0.2779703509425857,0.026706133685850373,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,18,0.568214,3977498,0.568214,0.2779010825398278,0.026724086347749264,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,19,0.568221,3977547,0.568221,0.2778280181227274,0.02673180228919985,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,20,0.5650047142857143,3955033,0.5650047142857143,0.27787050070125835,0.026709258810229904,0,32,32,32,32,32,32,32,32
