tag,episode,step,reward,throughput,normalized_throughput,timeout_rate,ip4-input,ip6-input,nat44-ed-in2out,nat44-ed-in2out-slowpath,arp-input,ip4-receive,ip4-mfib-forward-lookup,loop0-output
_fixed_all_32,4188,1,0.7269665714285715,5088766,0.7269665714285715,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,2,0.6700037142857143,4690026,0.6700037142857143,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,3,0.6775951428571428,4743166,0.6775951428571428,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,4,0.5362812857142857,3753969,0.5362812857142857,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,5,0.7241244285714286,5068871,0.7241244285714286,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,6,0.7057255714285714,4940079,0.7057255714285714,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,7,0.7026101428571428,4918271,0.7026101428571428,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,8,0.678711,4750977,0.678711,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,9,0.6624684285714286,4637279,0.6624684285714286,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,10,0.6980662857142858,4886464,0.6980662857142858,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,11,0.705023,4935161,0.705023,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,12,0.7051564285714286,4936095,0.7051564285714286,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,13,0.7033558571428571,4923491,0.7033558571428571,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,14,0.7060782857142858,4942548,0.7060782857142858,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,15,0.6153027142857143,4307119,0.6153027142857143,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,16,0.6856558571428572,4799591,0.6856558571428572,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,17,0.6904531428571429,4833172,0.6904531428571429,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,18,0.6824611428571429,4777228,0.6824611428571429,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,19,0.6920677142857142,4844474,0.6920677142857142,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,20,0.6931217142857143,4851852,0.6931217142857143,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,21,0.6847222857142857,4793056,0.6847222857142857,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,22,0.5969081428571429,4178357,0.5969081428571429,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,23,0.6616701428571429,4631691,0.6616701428571429,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,24,0.6689272857142857,4682491,0.6689272857142857,0,32,32,32,32,32,32,32,32
_fixed_all_64,4190,1,0.72745,5092150,0.72745,0,64,64,64,64,64,64,64,64
_fixed_all_64,4190,2,0.7539164285714286,5277415,0.7539164285714286,0,64,64,64,64,64,64,64,64
_fixed_all_64,4190,3,0.7547907142857143,5283535,0.7547907142857143,0,64,64,64,64,64,64,64,64
_fixed_all_64,4190,4,0.7535344285714286,5274741,0.7535344285714286,0,64,64,64,64,64,64,64,64
_fixed_all_64,4190,5,0.6743407142857143,4720385,0.6743407142857143,0,64,64,64,64,64,64,64,64
_fixed_all_64,4190,6,0.73162,5121340,0.73162,0,64,64,64,64,64,64,64,64
_fixed_all_64,4190,7,0.73582,5150740,0.73582,0,64,64,64,64,64,64,64,64
_fixed_all_64,4190,8,0.705855,4940985,0.705855,0,64,64,64,64,64,64,64,64
_fixed_all_64,4190,9,0.7375881428571428,5163117,0.7375881428571428,0,64,64,64,64,64,64,64,64
