tag,episode,step,reward,throughput,normalized_throughput,timeout_rate,ip4-input,ip6-input,nat44-ed-in2out,nat44-ed-in2out-slowpath,arp-input,ip4-receive,ip4-mfib-forward-lookup,loop0-output,arp_loss_rate,icmp_loss_rate,igmpv2_loss_rate,host_packet_loss_rate
_fixed_all_32,2068,1,-3.463167364805364,3438023,0.49114614285714286,0.0036791943373321906,32,32,32,32,32,32,32,32,0,0.5324415551943993,0.5215269086357948,0.5277569392348087
_fixed_all_32,2068,2,-1.8659493289970066,4629619,0.6613741428571429,0.002388630319148936,32,32,32,32,32,32,32,32,0,0.3467203366572134,0.3306312050277803,0.33357784705666604
_fixed_all_32,2068,3,-1.9624701594760026,4593643,0.6562347142857143,0.002451546108970242,32,32,32,32,32,32,32,32,0,0.34781397939292674,0.3587757768032099,0.3408921933085502
_fixed_all_32,2068,4,-2.160033832967454,4413814,0.6305448571428571,0.0026250211482066322,32,32,32,32,32,32,32,32,0,0.38034270311898344,0.37712191358024694,0.35876685934489405
_fixed_all_32,2068,5,-1.7376283541848743,4825235,0.6893192857142857,0.0022947278954874198,32,32,32,32,32,32,32,32,0,0.3255304225846046,0.318205712283161,0.32704292109189853
_fixed_all_32,2068,6,-1.7748589293320327,4866328,0.6951897142857143,0.0022806848605778944,32,32,32,32,32,32,32,32,0.32322781988408383,0,0.32560618172128963,0.3391854558417253
_fixed_all_32,2068,7,-2.6852984112655873,3920895.9999999995,0.560128,0.003031182419539499,32,32,32,32,32,32,32,32,0.42680660325789876,0,0.43219320292864166,0.4391707583196945
_fixed_all_32,2068,8,-2.2439703556505206,4243163,0.6061661428571429,0.00268599982606679,32,32,32,32,32,32,32,32,0.36986986986986986,0,0.3791899441340782,0.39099478539911753
_fixed_all_32,2068,9,-1.6441935987201886,4909099,0.7012998571428571,0.0021831805889423075,32,32,32,32,32,32,32,32,0.2987842211143182,0,0.31520503628573926,0.324208124945161
_fixed_all_32,2068,10,-2.6450422574759713,4006390,0.5723414285714286,0.0030182686967789706,32,32,32,32,32,32,32,32,0.42412617220801363,0,0.42335921710456337,0.43946808510638297
_fixed_all_32,2068,11,-1.5499473193016788,4937568,0.7053668571428572,0.002139711931591544,32,32,32,32,32,32,32,32,0.28910114275967935,0.3058712930518759,0,0.3071532347662593
_fixed_all_32,2068,12,-3.5503073402778536,3372339,0.48176271428571427,0.0037344208211143697,32,32,32,32,32,32,32,32,0.5349403769714066,0.5411238825031929,0,0.5367637623508277
