tag,avg_throughput_pkts,avg_lat_ns,avg_timeout_pkts,timeout_rate,ip4_wo_nat_avg_lat_ns,ip4_wo_nat_timeout_rate,ip4_nat_avg_lat_ns,ip4_nat_timeout_rate,ip6_udp_avg_lat_ns,ip6_udp_timeout_rate,ip6_tcp_avg_lat_ns,ip6_tcp_timeout_rate,arp_avg_lat_ns,arp_timeout_rate,icmp_avg_lat_ns,icmp_timeout_rate,igmp_avg_lat_ns,igmp_timeout_rate,tap_avg_lat_ns,tap_timeout_rate
4,2191672,54896,0,0,61187,0,55168,0,42852,0,42847,0,77279,0,104723,0,99204,0,103880,0
8,2536633,53523,0,0,58704,0,50420,0,37472,0,37472,0,107588,0,136625,0,120641,0,134263,0
16,2912073,57236,0,0.00000006735937929679166,61384,0,49192,0,34944,0,34946,0,156407,0,191871,0,170845,0,188387,0
32,3021071,76589,1,0.0000004545016866232947,79401,0,58159,0,39496,0,39496,0,267277,0,322653,0,287264,0,315719,0
48,3226482,91220,18,0.000005741148910214507,92519,0,63988,0,42264,0,42264,0,355330,0.000013430029546065002,424904,0.00009396856080437088,376493,0.00002685464921114468,415887,0.00008023750300890636
64,3187268,113784,1371,0.0004301470231370041,114889,0,75753,0,49209,0,49204,0,473995,0.0015077994352605752,564267,0.007779756197781126,500152,0.0025212732429877086,553277,0.0069219741961908665
80,3288110,125588,7826,0.002380309723726646,122637,0.0000013269286908521535,75216,0,52274,0,52279,0,565870,0.017352859172320396,664788,0.03319623192251559,589645,0.022261455954972656,652634,0.030925245260068224
96,3371952,140888,14715,0.0043637182197232395,138412,0,82963,0,54242,0,54248,0,657897,0.03758261527030022,777646,0.05691692395878115,688300,0.04311456826799046,761937,0.0539150759641605
112,3478724,153773,20366,0.005854967458660212,152174,0.0000037728540634895883,89400,0.000001257618021163196,54849,0.0000012719361284553734,54860,0.0000012718698012321875,740091,0.051683316240614834,871664,0.07564631706884764,776024,0.0576163467868537,858479,0.07256822599782889
128,3486273,169738,37625,0.010791993856443274,168200,0,96562,0,56625,0,56618,0,838907,0.08105373651528373,992990,0.1531778750094843,880689,0.09679500151775777,973013,0.14439946018893388
144,3461263,189729,67695,0.019558980337195657,187708,0.000003796939666628697,106718,0,61941,0,61942,0,941907,0.16382347722491192,1117019,0.2611702127659574,987311,0.19166803886053022,1095223,0.24020016680567138
160,3346000,215546,98838,0.029538060268049206,213654,0,120722,0,68373,0,68376,0,1080880,0.2738221749911442,1275981,0.3665805656443809,1136001,0.3003974865208779,1255153,0.3545615067686875
176,3285192,239892,121786,0.03707090784717751,237969,0.000007996982471947252,133877,0.000003998491235973626,74471,0.000005383913405136792,74470,0.000005383949638535081,1211768,0.35675827708132435,1442307,0.4539941363106952,1270094,0.38068714350748467,1407260,0.4376994245891353
192,3210155,266310,139474,0.043447943935538566,264164,0,148147,0,81833,0,81840,0,1354085,0.42752439643695356,1601253,0.5222844283440364,1419789,0.45259531717493345,1573611,0.5103130175328141
208,3229463,284967,152722,0.04729011294671707,282835,0,157800,0,86364,0,86376,0,1455853,0.4700508030154048,1727900,0.5672114583760018,1524341,0.4938875305623472,1694518,0.553175835853838
224,3112361,317694,162610,0.05224544855631467,315812,0.000004221362627713808,175594,0,95852,0,95850,0,1625147,0.5248848252888227,1925424,0.6193391146630391,1706819,0.550314554522784,1887776,0.6082464026234699
240,3122804,338073,172730,0.05531266469244862,335972,0,186217,0,101368,0,101369,0,1733755,0.5585726571642065,2046695,0.6503834658546214,1816131,0.582321672800079,2015420,0.6425958751864045
256,3127083,358770,180625,0.05776163478449514,356504,0,197072,0,107128,0,107123,0,1839198,0.584728696362433,2179622,0.6791318065297614,1933651,0.6091280462036907,2144155,0.6697074905472077
