tag,avg_throughput_pkts,avg_lat_ns,avg_timeout_pkts,timeout_rate,ip4_wo_nat_avg_lat_ns,ip4_wo_nat_timeout_rate,ip4_nat_avg_lat_ns,ip4_nat_timeout_rate,ip6_udp_avg_lat_ns,ip6_udp_timeout_rate,ip6_tcp_avg_lat_ns,ip6_tcp_timeout_rate,arp_avg_lat_ns,arp_timeout_rate,icmp_avg_lat_ns,icmp_timeout_rate,igmp_avg_lat_ns,igmp_timeout_rate,tap_avg_lat_ns,tap_timeout_rate
4,2118932,57003,0,0,63594,0,57379,0,44426,0,44432,0,80181,0,109078,0,103260,0,108091,0
8,2477707,54969,0,0,60352,0,51868,0,38434,0,38437,0,110144,0,140193,0,123735,0,137977,0
16,2807507,59524,0,0,63896,0,51254,0,36308,0,36310,0,162205,0,199452,0,177232,0,195647,0
32,3108689,74045,0,0,76760,0,56127,0,37984,0,37983,0,263704,0,317121,0,282676,0,311372,0
48,3228219,91111,1,0.0000002741291025019276,92455,0,63940,0,42130,0,42133,0,355308,0,424881,0,376332,0,416236,0
64,3194470,113554,3,0.0000011359080172387858,114722,0,75613,0,49119,0,49114,0,470803,0,561887,0.00002723571146487274,497079,0,549991,0
80,3206407,129388,251,0.00007830135173052706,126567,0,77908,0,53882,0,53872,0,581415,0.00016358803080907913,684446,0.001567163162126436,606183,0.000286228328426562,671698,0.0013716303388334353
96,3257801,146435,3415,0.001048329004771694,143789,0,86536,0,56842,0,56840,0,679805,0.00423055158847781,804320,0.01818451018924812,711157,0.0073429352878565364,788409,0.01615586925017444
112,3334026,161862,8871,0.002660768450340573,159943,0,94544,0,58801,0,58801,0,772722,0.02009618687736173,913959,0.0373394640875218,809815,0.025319132066495758,897806,0.03432741451077507
128,3353236,177211,15330,0.0045731996331569765,175638,0,101338,0,59652,0,59646,0,873085,0.039581581160639194,1027929,0.05919289580158688,914550,0.04561643295527723,1013294,0.056863156239352085
144,3359718,196171,20095,0.00598129860122907,194066,0,110721,0,64623,0,64622,0,971079,0.05165232605204403,1148871,0.07794257686638228,1017301,0.05822480883158911,1128858,0.07420761470875366
160,3224479,224528,36910,0.011446661767268742,222610,0,126146,0,71689,0,71690,0,1121900,0.08796648895658797,1327796,0.1607201131295551,1176650,0.10205718792064938,1301328,0.15073434681783046
176,3274605,240415,56673,0.017307106272107305,238404,0,134243,0,74758,0,74759,0,1215241,0.13964611519393802,1437437,0.23510938129110187,1277373,0.16810987152120505,1408820,0.21741982995246703
192,3268945,261027,79344,0.02427248498946663,259213,0,145197,0,80015,0,80013,0,1327015,0.21712336156211232,1566715,0.30954948639831764,1396011,0.24385936531046942,1545195,0.29832345151185147
208,3179649,289463,99725,0.031365438622452696,287446,0.000004133147984608157,160433,0,87855,0,87855,0,1480134,0.2957361869645976,1744811,0.38765391061065635,1551231,0.3225636547604197,1716724,0.37492916084979333
224,3225010,305983,114910,0.03563074817000902,303939,0,168914,0,92082,0,92099,0,1566693,0.3426835097302834,1850729,0.4353935653028896,1643227,0.36648778556115413,1822040,0.4235893523690162
240,3111311,339191,128521,0.041307585694445564,337322,0,186988,0,101643,0,101642,0,1738165,0.4043746018262901,2050374,0.49676469338921375,1826694,0.4317750658323187,2023130,0.4855080651995819
256,2992733,375781,139748,0.046696319212760594,373895,0.000007319143952923266,206642,0,112244,0,112249,0,1925620,0.46301611834842127,2279901,0.5568964502266439,2028612,0.4923529844704497,2238726,0.5433065084586466
