protocol,pareto,count
IPv4_UDP,0.6,1677
IPv4_UDP,0.8,1964
IPv4_UDP,1.0,2295
IPv4_UDP,1.2,2589
IPv4_UDP,1.4,2739
IPv4_TCP,0.6,1241
IPv4_TCP,0.8,1621
IPv4_TCP,1.0,2011
IPv4_TCP,1.2,2350
IPv4_TCP,1.4,2634
IPv6_UDP,0.6,959
IPv6_UDP,0.8,1229
IPv6_UDP,1.0,1306
IPv6_UDP,1.2,1346
IPv6_UDP,1.4,1432
IPv6_TCP,0.6,698
IPv6_TCP,0.8,752
IPv6_TCP,1.0,780
IPv6_TCP,1.2,784
IPv6_TCP,1.4,788
ARP,0.6,495
ARP,0.8,567
ARP,1.0,562
ARP,1.2,529
ARP,1.4,492
IGMPv2,0.6,378
IGMPv2,0.8,405
IGMPv2,1.0,415
IGMPv2,1.2,365
IGMPv2,1.4,352
ICMP,0.6,314
ICMP,0.8,339
ICMP,1.0,323
ICMP,1.2,267
ICMP,1.4,253
HOST(TAP),0.6,299
HOST(TAP),0.8,292
HOST(TAP),1.0,238
HOST(TAP),1.2,226
HOST(TAP),1.4,184
