tag,avg_throughput_pkts,avg_lat_ns,avg_timeout_pkts,timeout_rate,ip4_wo_nat_avg_lat_ns,ip4_nat_avg_lat_ns,ip6_avg_lat_ns,arp_avg_lat_ns,icmp_avg_lat_ns,igmp_avg_lat_ns,tap_avg_lat_ns
32,3094506.0,74545.0,2.0,7.612310844780319e-07,77220.0,56498.0,38297.0,260942.0,314978.0,281122.0,308902.0
48,3116863.0,94801.0,4.0,1.4475425070857206e-06,96165.0,66583.0,44004.0,368833.0,440383.0,390934.0,431116.0
64,3317899.0,108835.0,3.0,1.0941986445481212e-06,109761.0,72321.0,46819.0,454771.0,541471.0,479468.0,530878.0
80,3328353.0,123816.0,140.0,4.208732531368669e-05,120737.0,74016.0,51501.0,558194.0,654943.0,580644.0,644763.0
96,3328295.0,142858.0,2600.0,0.0007812393140422859,140177.0,84193.0,55237.0,665021.0,784715.0,696781.0,771559.0
112,3392712.0,158731.0,8359.0,0.002464817914955124,156837.0,92550.0,57343.0,760115.0,898447.0,797606.0,882244.0
128,3475254.0,170116.0,11806.0,0.003395900420487456,168486.0,96767.0,56623.0,841556.0,994256.0,881920.0,974074.0
144,3392033.0,194285.0,19793.0,0.005835367769819831,192037.0,109453.0,64029.0,962129.0,1142497.0,1010530.0,1115239.0
160,3289197.0,219629.0,33590.0,0.010213047342815907,217516.0,123005.0,69849.0,1101068.0,1299660.0,1154509.0,1278278.0
176,3281486.0,240179.0,56309.0,0.017158431191548716,238080.0,133988.0,74700.0,1215761.0,1437453.0,1275176.0,1410122.0
192,3212237.0,266175.0,82062.0,0.025547046163656828,263998.0,147966.0,81749.0,1352441.0,1602756.0,1419774.0,1571844.0
208,3151810.0,292445.0,101254.0,0.03212589345675273,290334.0,162069.0,88793.0,1490137.0,1771684.0,1566426.0,1733031.0
224,3168444.0,311934.0,115845.0,0.03656475013317213,309742.0,172033.0,93927.0,1592383.0,1887375.0,1675736.0,1854894.0
240,3048152.0,346473.0,129316.0,0.04242452556674653,344741.0,190955.0,104017.0,1776539.0,2088828.0,1866048.0,2058138.0
256,3156588.0,355892.0,140059.0,0.04437192687685549,353357.0,195133.0,106164.0,1826021.0,2163917.0,1916630.0,2123775.0
