tag,avg_throughput_pkts,avg_lat_ns,avg_timeout_pkts,timeout_rate
32,3094506.0,74545.0,2.0,7.612310844780319e-07
48,3116863.0,94801.0,4.0,1.4475425070857206e-06
64,3317899.0,108835.0,3.0,1.0941986445481212e-06
80,3328353.0,123816.0,140.0,4.208732531368669e-05
96,3328295.0,142858.0,2600.0,0.0007812393140422859
112,3392712.0,158731.0,8359.0,0.002464817914955124
128,3475254.0,170116.0,11806.0,0.003395900420487456
144,3392033.0,194285.0,19793.0,0.005835367769819831
160,3289197.0,219629.0,33590.0,0.010213047342815907
176,3281486.0,240179.0,56309.0,0.017158431191548716
192,3212237.0,266175.0,82062.0,0.025547046163656828
208,3151810.0,292445.0,101254.0,0.03212589345675273
224,3168444.0,311934.0,115845.0,0.03656475013317213
240,3048152.0,346473.0,129316.0,0.04242452556674653
256,3156588.0,355892.0,140059.0,0.04437192687685549
BF,3553628,6279,149466,0.001766927
BF_notimeout,3369676,1,106873,2.97E-07
