tag,avg_throughput_pkts,ip6_avg_lat_ns,ip4_nat_avg_lat_ns,ip4_wo_nat_avg_lat_ns,igmp_avg_lat_ns,arp_avg_lat_ns,tap_avg_lat_ns,icmp_avg_lat_ns
16,2901507.050994306,21516.649999999907,39134.549999999814,48599.74999999907,165614.80999999773,135002.1883333346,192640.57666665816,183929.30666666199
32,3113618.135922033,20205.939999998547,40084.21000000008,79527.8466666668,264463.6416666941,243620.0000000028,315863.2850000147,306291.371666668
48,3251321.020573332,20080.929999999586,90414.88499999966,133392.17833333358,391181.19666667737,340187.92333334376,476051.3433333335,449113.03333334567
64,3289926.866707567,35441.36833333505,95940.31666666525,143383.19333333033,519862.2166666761,456678.7499999984,587337.9800000095,559306.9033333163
80,3381514.493687708,46078.249999998254,99585.03333333158,149535.15999999852,602754.2883333294,525612.7083333181,673869.4799999963,646060.6499999894
96,3437490.7364719207,51213.946666666656,91523.63666666625,149548.641666668,690395.5766666643,591989.6233333319,776442.4799999987,734725.7099999983
112,3443121.0653955117,48118.58333333288,105034.23666666573,172495.7299999989,790690.8116666668,685075.2133333341,901849.0133333316,845499.9566666654
128,3501858.476543131,63829.455000000344,117406.80000000389,187248.1066666668,881960.0416666862,751131.5633333353,1008250.0400000148,941428.2966666635
144,3487406.164952203,31891.601666664737,127535.65333333437,206464.53333333193,996608.2999999997,862146.2650000014,1096807.7999999924,1065247.5699999952
160,3414570.3960853713,59349.28666666616,143625.91999999713,234799.55833332567,1123557.9616666613,960941.4066666453,1277295.238333318,1212824.6599999657
176,3348357.126558854,66005.7116666662,157197.4066666619,259198.6799999916,1235022.6449999663,1099193.5333332904,1412425.7599999788,1321700.3499999607
192,3279785.343050118,70786.43999999668,177844.1399999902,289186.6833333204,1442040.9783333186,1234192.873333291,1594875.329999953,1511515.1399999561
208,3209657.1422962127,51594.68333333137,198992.09333333006,331467.080000002,1566076.0899999684,1311974.8016666204,1735046.938333284,1695530.3200000026
224,3232056.0309431045,82184.09000000102,201818.02499999688,336755.64166665846,1662486.4016666105,1462757.2833332755,1836468.4549999398,1785686.1583332785
240,3176517.4820369426,93434.41999999643,217237.18666665966,359654.9966666646,1817364.4283332643,1591359.3266665852,1999484.8516665886,1920393.606666593
256,3134910.5018684934,73652.41833333438,238582.17833333608,394629.91166665737,1921833.8533332304,1548353.4733332435,2178277.7499998948,2087904.8799999028
